# 太阳半径 (R_sun)	电子中微子生存概率
0.00819005	1
0.00918321	1
0.0101764	1
0.0111695	1
0.0121627	1
0.0131558	1
0.014149	1
0.0151422	1
0.0161353	1
0.0171285	1
0.0181216	1
0.0191148	1
0.020108	1
0.0211011	1
0.0220943	1
0.0230874	1
0.0240806	1
0.0250738	1
0.0260669	1
0.0270601	1
0.0280532	1
0.0290464	1
0.0300396	1
0.0310327	1
0.0320259	1
0.033019	1
0.0340122	1
0.0350054	1
0.0359985	1
0.0369917	1
0.0379848	1
0.038978	1
0.0399712	1
0.0409643	1
0.0419575	1
0.0429506	1
0.0439438	1
0.044937	1
0.0459301	1
0.0469233	1
0.0479164	1
0.0489096	1
0.0499028	1
0.0508959	1
0.0518891	1
0.0528822	1
0.0538754	1
0.0548686	1
0.0558617	1
0.0568549	1
0.057848	1
0.0588412	1
0.0598344	1
0.0608275	1
0.0618207	1
0.0628138	1
0.063807	1
0.0648002	1
0.0657933	1
0.0667865	1
0.0677796	1
0.0687728	1
0.069766	1
0.0707591	1
0.0717523	1
0.0727454	1
0.0737386	1
0.0747318	1
0.0757249	1
0.0767181	1
0.0777112	1
0.0787044	1
0.0796976	1
0.0806907	1
0.0816839	1
0.082677	1
0.0836702	1
0.0846634	1
0.0856565	1
0.0866497	1
0.0876428	1
0.088636	1
0.0896292	1
0.0906223	1
0.0916155	1
0.0926086	1
0.0936018	1
0.094595	1
0.0955881	1
0.0965813	1
0.0975744	1
0.0985676	1
0.0995608	1
0.100554	1
0.101547	1
0.10254	1
0.103533	1
0.104527	1
0.10552	1
0.106513	1
0.107506	1
0.108499	1
0.109492	1
0.110486	1
0.111479	1
0.112472	1
0.113465	1
0.114458	1
0.115451	1
0.116444	1
0.117438	1
0.118431	1
0.119424	1
0.120417	1
0.12141	1
0.122403	1
0.123397	1
0.12439	1
0.125383	1
0.126376	1
0.127369	1
0.128362	1
0.129356	1
0.130349	1
0.131342	1
0.132335	1
0.133328	1
0.134321	1
0.135315	1
0.136308	1
0.137301	1
0.138294	1
0.139287	1
0.14028	1
0.141273	1
0.142267	1
0.14326	1
0.144253	1
0.145246	1
0.146239	1
0.147232	1
0.148226	1
0.149219	1
0.150212	1
0.151205	1
0.152198	1
0.153191	1
0.154185	1
0.155178	1
0.156171	1
0.157164	1
0.158157	1
0.15915	1
0.160144	1
0.161137	1
0.16213	1
0.163123	1
0.164116	1
0.165109	1
0.166102	1
0.167096	1
0.168089	1
0.169082	1
0.170075	1
0.171068	1
0.172061	1
0.173055	1
